model,clean_acc_cifar10,clean_acc_lens,clean_acc_screwset,mean_corrupt_acc_cifar10,mean_corrupt_acc_imagenet_c,mean_corrupt_acc_lens,mean_corrupt_acc_screwset,display_name
blip2,67.1,59.7,0.95,52.41,,8.76,0.49,BLIP-2
clip_vit_b16,88.41,84.6,3.31,73.1,37.06,21.57,3.22,CLIP-B/16
clip_vit_b32,86.69,80.0,6.71,70.92,34.21,19.64,3.44,CLIP-B/32
clip_vit_l14,93.66,88.7,5.21,82.01,48.6,27.21,5.08,CLIP-L/14
convnext_tiny,98.03,82.2,99.98,86.29,57.05,16.0,45.39,ConvNeXt-Tiny
convnextv2_atto,80.26,1.2,91.67,73.04,43.82,0.7,8.29,ConvNeXtV2-A
deit_small_patch16_224,96.52,81.7,99.65,87.29,55.54,16.11,19.48,DeiT-Small
deit_tiny_patch16_224,93.15,69.7,99.55,80.59,43.1,9.27,16.91,DeiT-Tiny
efficientformer_l1,96.07,75.3,99.91,75.74,49.09,6.64,16.15,EfficientFormer
efficientnetv2_rw_s,85.29,82.2,95.45,73.33,56.92,15.4,11.28,EfficientNetV2-S
eva02_clip_vit_b16,98.48,89.9,4.61,90.97,52.68,26.66,2.62,EVA02-CLIP-B/16
ghostnetv2_100,85.01,70.2,95.02,67.05,39.62,8.32,11.63,GhostNetV2
llava,92.15,37.4,2.5,82.58,,7.68,2.5,LLaVA-1.5
mobilenet_v3_large,84.94,62.6,95.95,67.91,38.71,6.63,11.08,MobileNetV3-L
mobilenetv4_conv_small,76.48,53.6,96.03,66.66,37.6,2.81,7.8,MobileNetV4-S
mobilevit_s,97.3,78.4,100.0,78.48,41.39,8.37,28.09,MobileViT-S
openclip_vit_b16,95.0,85.4,4.9,81.38,41.39,20.69,4.23,OpenCLIP-B/16
resnet18,83.21,50.6,98.02,63.78,31.73,4.05,9.23,ResNet-18
shufflenet_v2_x1_0,82.01,53.1,96.18,67.05,28.61,3.37,12.3,ShuffleNetV2
siglip_vit_b16,92.39,88.1,10.78,72.63,42.62,22.46,7.34,SigLIP-B/16
squeezenet1_1,77.74,0.5,95.09,59.44,18.34,0.5,16.63,SqueezeNet
swin_tiny_patch4_window7_224,96.1,81.8,99.94,83.23,52.93,14.31,33.39,Swin-Tiny
vit_small_patch16_224,97.18,83.9,99.79,88.2,58.0,18.81,24.4,ViT-Small
vit_tiny_patch16_224,95.7,69.4,99.66,81.37,42.72,8.91,21.17,ViT-Tiny
