Model,Phase,Clean,Mean SS-C,Multi-object,Occlusion BR,Occlusion TL,Reflection,Scrap paper,Shadow
ResNet-18,phase1,98.02,9.23,18.05,2.42,2.5,2.66,23.83,5.94
EfficientNetV2-S,phase1,95.45,11.28,25.16,2.27,2.5,2.5,32.73,2.5
MobileNetV3-L,phase1,95.95,11.08,23.91,2.5,2.5,2.5,31.72,3.36
MobileNetV4-S,phase1,96.03,7.8,18.36,2.5,2.73,5.08,9.84,8.28
ShuffleNetV2,phase1,96.18,12.3,25.0,2.73,3.83,2.66,34.84,4.77
SqueezeNet,phase1,95.09,16.63,25.62,2.19,2.19,11.64,45.31,12.81
GhostNetV2,phase1,95.02,11.63,21.41,2.5,2.5,4.61,33.28,5.47
ConvNeXtV2-A,phase1,91.67,8.29,17.58,2.5,4.22,9.53,5.55,10.39
ViT-Tiny,phase2,99.66,21.17,45.23,2.81,3.83,25.23,33.98,15.94
ViT-Small,phase2,99.79,24.4,49.77,2.5,3.59,27.34,44.92,18.28
DeiT-Tiny,phase2,99.55,16.91,45.86,2.5,2.5,16.88,17.66,16.09
DeiT-Small,phase2,99.65,19.48,44.06,2.66,3.67,21.8,30.78,13.91
Swin-Tiny,phase2,99.94,33.39,57.03,4.53,12.03,31.25,75.08,20.39
ConvNeXt-Tiny,phase2,99.98,45.39,53.52,33.12,33.44,43.2,76.02,33.05
EfficientFormer,phase2,99.91,16.15,43.36,2.97,7.42,5.86,18.28,18.98
MobileViT-S,phase2,100.0,28.09,42.03,6.17,6.09,20.23,72.97,21.02
CLIP-B/32,phase3,6.71,3.44,4.45,3.12,3.36,4.38,2.66,2.66
CLIP-B/16,phase3,3.31,3.22,4.3,3.44,3.28,3.67,1.56,3.05
CLIP-L/14,phase3,5.21,5.08,5.0,5.16,6.09,5.78,3.44,5.0
OpenCLIP-B/16,phase3,4.9,4.23,5.47,2.97,4.22,5.7,3.67,3.36
SigLIP-B/16,phase3,10.78,7.34,12.03,6.56,5.94,8.83,2.58,8.12
EVA02-CLIP-B/16,phase3,4.61,2.62,2.58,1.25,4.14,3.28,2.03,2.42
BLIP-2,phase3,0.95,0.49,1.17,0.0,0.0,1.02,0.39,0.39
LLaVA-1.5,phase3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
